id, img1, img2
1, 9499, 21513
2, 8062, 20811
3, 19580, 20728
4, 1217, 17091
5, 28213, 30286
6, 15087, 27985
7, 37697, 40006
8, 6839, 30741
9, 2935, 42342
10, 16806, 35632
11, 2434, 3785
12, 5110, 24670
13, 13063, 18810
14, 3850, 22753
15, 5196, 25802
16, 19738, 32409
17, 23168, 33626
18, 12712, 25182
19, 26938, 36265
20, 36585, 37409
21, 2211, 38620
22, 14434, 22663
23, 4484, 7802
24, 1330, 15898
25, 27937, 33896
26, 16267, 26385
27, 20976, 28918
28, 2612, 30072
29, 14177, 30630
30, 22150, 28298
31, 2598, 24720
32, 24508, 34974
33, 6746, 15102
34, 12771, 16148
35, 8393, 11516
36, 25861, 26514
37, 18648, 35554
38, 490, 12837
39, 11512, 13306
40, 12665, 19140
41, 25491, 26938
42, 8924, 11533
43, 35975, 42301
44, 24368, 36768
45, 730, 17795
46, 29264, 30272
47, 10248, 21954
48, 7272, 9359
49, 20309, 22818
50, 1822, 7811
51, 8752, 27187
52, 3379, 5785
53, 16597, 20723
54, 462, 12422
55, 442, 19555
56, 3554, 7720
57, 10003, 27931
58, 1322, 5481
59, 6080, 14742
60, 9168, 28114
61, 3029, 8069
62, 7120, 24054
63, 3343, 24038
64, 6292, 19308
65, 23105, 36265
66, 14119, 35890
67, 11275, 37200
68, 37458, 38922
69, 22463, 35614
70, 12218, 26002
71, 5683, 31076
72, 21165, 27798
73, 25662, 37385
74, 16466, 40877
75, 4981, 41934
76, 11251, 21763
77, 243, 31181
78, 14822, 22769
79, 905, 23002
80, 7728, 25651
81, 5853, 15651
82, 10609, 31483
83, 21370, 27538
84, 11298, 28556
85, 9578, 22896
86, 23172, 40891
87, 1497, 24751
88, 5572, 36160
89, 22740, 37737
90, 19482, 29787
91, 22635, 39245
92, 8982, 35867
93, 23403, 28404
94, 5007, 30118
95, 32011, 39035
96, 6157, 27645
97, 21805, 37379
98, 5105, 20240
99, 5561, 15523
100, 9039, 16786
101, 8590, 30254
102, 8393, 11886
103, 11376, 19948
104, 2109, 19791
105, 36498, 41224
106, 11410, 13165
107, 18332, 29588
108, 1657, 35838
109, 9397, 33566
110, 332, 24552
111, 6913, 38208
112, 317, 22948
113, 12470, 29311
114, 32015, 35396
115, 26440, 39472
116, 31956, 36800
117, 20957, 29893
118, 10834, 11461
119, 7544, 11545
120, 5151, 6493
121, 3600, 40381
122, 12086, 31185
123, 12122, 35975
124, 13947, 37962
125, 32667, 38237
126, 13907, 24916
127, 1587, 19738
128, 1680, 24841
129, 30138, 30937
130, 7073, 41621
131, 27937, 35198
132, 30617, 41388
133, 4543, 27010
134, 26993, 35966
135, 21788, 39394
136, 9688, 23607
137, 462, 35966
138, 12122, 12217
139, 34242, 40889
140, 31970, 37163
141, 3795, 9566
142, 1292, 34522
143, 4010, 8036
144, 5853, 23730
145, 4915, 17278
146, 7477, 15155
147, 8712, 27876
148, 3809, 27192
149, 19453, 41701
150, 7163, 36595
151, 17583, 33962
152, 29010, 36506
153, 6914, 32778
154, 24747, 39218
155, 31876, 32086
156, 22812, 39051
157, 19488, 29181
158, 410, 15637
159, 1344, 25192
160, 27745, 39630
161, 8238, 29680
162, 9973, 41894
163, 3877, 36892
164, 2059, 12111
165, 10849, 24325
166, 7936, 35987
167, 30138, 37725
168, 20924, 23538
169, 5475, 38780
170, 14500, 24562
171, 2823, 40302
172, 27820, 36970
173, 609, 25712
174, 21156, 37771
175, 4701, 9890
176, 8831, 18320
177, 10718, 37363
178, 12892, 29716
179, 18550, 41398
180, 12944, 24568
181, 9290, 20109
182, 25567, 36980
183, 12427, 21937
184, 17498, 17701
185, 22111, 27610
186, 7241, 40645
187, 2969, 42139
188, 12996, 23236
189, 16618, 34963
190, 12019, 30508
191, 12905, 13996
192, 30331, 40269
193, 9411, 41918
194, 10005, 33663
195, 12651, 32401
196, 13564, 38060
197, 15446, 34046
198, 2133, 28817
199, 9207, 40856
200, 21157, 39042
201, 13348, 24127
202, 14403, 19133
203, 3320, 16787
204, 5242, 13553
205, 8893, 31297
206, 12791, 27321
207, 7701, 11100
208, 14604, 28401
209, 21296, 23176
210, 3347, 37781
211, 25413, 26291
212, 7980, 22963
213, 4998, 20091
214, 25968, 38831
215, 1526, 2395
216, 31540, 39374
217, 10996, 27461
218, 8693, 24483
219, 5261, 27783
220, 15152, 27933
221, 16212, 39872
222, 25381, 31600
223, 6031, 7689
224, 1630, 14101
225, 8635, 21739
226, 20535, 36452
227, 30520, 41127
228, 4971, 32610
229, 2651, 4344
230, 19517, 33947
231, 2295, 13946
232, 6327, 37716
233, 4208, 30132
234, 10821, 19223
235, 986, 30572
236, 30387, 39023
237, 21061, 34392
238, 12330, 20239
239, 39104, 40691
240, 9976, 20394
241, 16010, 29757
242, 7499, 7985
243, 23784, 32920
244, 1167, 12900
245, 30689, 41801
246, 4676, 30666
247, 21481, 26892
248, 29, 40436
249, 16112, 32304
250, 31588, 38390
251, 12285, 19356
252, 10172, 12217
253, 4712, 20166
254, 20366, 40263
255, 23823, 35801
256, 13817, 31095
257, 1379, 38075
258, 3072, 25599
259, 9377, 37360
260, 34695, 34960
261, 21501, 22557
262, 31053, 41460
263, 4758, 12893
264, 14548, 26984
265, 7588, 13277
266, 7179, 28557
267, 17173, 28732
268, 3250, 22483
269, 20809, 29984
270, 13626, 26744
271, 9802, 13006
272, 10066, 17816
273, 10365, 14976
274, 22059, 24224
275, 7986, 8829
276, 10774, 23103
277, 29816, 37638
278, 14280, 17622
279, 11161, 24597
280, 5931, 15631
281, 35021, 41429
282, 7597, 8666
283, 8165, 17390
284, 19804, 29115
285, 19459, 21559
286, 20823, 41409
287, 30397, 33472
288, 4533, 40237
289, 11232, 39832
290, 20363, 25498
291, 9491, 17052
292, 8275, 22154
293, 4801, 8131
294, 12087, 21452
295, 6605, 37526
296, 18528, 40143
297, 2592, 8185
298, 5010, 35075
299, 10918, 24920
300, 20012, 28258
301, 13314, 25874
302, 3078, 4699
303, 12612, 36087
304, 21363, 36557
305, 28005, 39526
306, 17205, 26934
307, 4305, 18335
308, 36559, 38759
309, 8649, 29528
310, 4140, 19307
311, 20904, 40092
312, 8816, 17330
313, 23170, 31623
314, 16336, 31565
315, 21454, 27730
316, 11135, 11349
317, 6637, 27948
318, 18248, 32035
319, 1943, 10955
320, 12574, 16686
321, 11155, 31688
322, 8572, 30420
323, 3274, 22099
324, 13515, 26574
325, 16623, 30366
326, 2569, 27623
327, 3683, 14888
328, 11475, 42171
329, 4968, 8892
330, 9740, 22603
331, 125, 5014
332, 23640, 42084
333, 6488, 12065
334, 13703, 16983
335, 32606, 36654
336, 15417, 36291
337, 29281, 39411
338, 9319, 34241
339, 18809, 40668
340, 17445, 19956
341, 24520, 41505
342, 34939, 34971
343, 35115, 35478
344, 18052, 29925
345, 7858, 25232
346, 12886, 33508
347, 14385, 26096
348, 72, 18454
349, 20, 39819
350, 22162, 35828
351, 15776, 24448
352, 8620, 24348
353, 1186, 39960
354, 2482, 3136
355, 21496, 27705
356, 35105, 36338
357, 33486, 35179
358, 5413, 11734
359, 8226, 17771
360, 29900, 38976
361, 1168, 4890
362, 6765, 10933
363, 12669, 36442
364, 20872, 33170
365, 767, 27097
366, 29850, 35524
367, 13179, 21161
368, 3156, 16028
369, 6920, 17168
370, 15434, 16461
371, 38089, 39449
372, 3156, 8316
373, 7923, 39209
374, 34158, 40698
375, 3348, 24919
376, 14145, 14492
377, 13562, 16329
378, 17502, 20708
379, 10517, 18155
380, 637, 1874
381, 15204, 15670
382, 3584, 36539
383, 20252, 28045
384, 38251, 39902
385, 4045, 5576
386, 11453, 17683
387, 7126, 38218
388, 20914, 33648
389, 2445, 9147
390, 7098, 41234
391, 15879, 29311
392, 3468, 36560
393, 1683, 18879
394, 11195, 30239
395, 8427, 41903
396, 6044, 20226
397, 9457, 41902
398, 18141, 42056
399, 916, 26943
400, 17101, 24899
401, 20571, 23831
402, 13515, 30580
403, 1016, 16382
404, 20498, 20607
405, 9472, 17876
406, 5487, 22675
407, 24371, 25806
408, 1013, 1450
409, 1894, 36001
410, 5951, 35178
411, 2614, 25243
412, 22684, 22712
413, 509, 7233
414, 6159, 15761
415, 29203, 38325
416, 31182, 34273
417, 1830, 33585
418, 16499, 33302
419, 27850, 40456
420, 239, 15842
421, 1188, 6022
422, 8836, 23901
423, 30442, 41702
424, 7546, 13977
425, 32279, 38148
426, 8021, 9636
427, 37613, 38425
428, 15965, 40336
429, 17600, 24354
430, 12617, 37341
431, 11028, 19466
432, 16483, 25515
433, 10185, 13098
434, 7501, 19122
435, 1879, 38453
436, 25734, 29366
437, 6433, 30878
438, 19095, 34057
439, 9130, 15906
440, 3074, 32078
441, 23350, 38375
442, 33680, 37674
443, 418, 18617
444, 11066, 36521
445, 8294, 19396
446, 9193, 16150
447, 24062, 27493
448, 11011, 36753
449, 16892, 21444
450, 22590, 39648
451, 10234, 33559
452, 29465, 40508
453, 32988, 39552
454, 29389, 41257
455, 2998, 10991
456, 27964, 33484
457, 7958, 11338
458, 13851, 26146
459, 5875, 10341
460, 418, 22450
461, 3211, 40264
462, 4876, 20644
463, 1248, 6363
464, 32429, 35515
465, 18341, 31061
466, 5223, 18341
467, 35443, 40087
468, 12837, 26969
469, 18919, 21007
470, 4737, 34605
471, 23853, 36285
472, 11744, 21448
473, 15434, 31890
474, 1200, 41186
475, 10611, 39902
476, 14906, 16656
477, 27852, 36150
478, 13449, 23575
479, 14123, 18321
480, 26272, 40019
481, 27396, 34698
482, 20335, 28946
483, 1282, 7267
484, 16009, 28949
485, 8042, 19977
486, 4464, 26353
487, 19453, 29095
488, 38762, 39953
489, 1359, 32061
490, 22808, 40991
491, 14906, 35192
492, 8695, 35314
493, 27599, 41873
494, 5223, 10329
495, 27534, 33436
496, 27270, 32309
497, 1872, 35541
498, 1518, 6781
499, 24674, 41576
500, 687, 2159
501, 14215, 27141
502, 8261, 35852
503, 11442, 16789
504, 595, 40094
505, 15572, 30619
506, 14451, 15670
507, 17609, 38765
508, 13355, 19788
509, 14212, 37090
510, 9758, 36552
511, 3446, 13811
512, 517, 26110
513, 34789, 40934
514, 8797, 27933
515, 26631, 30454
516, 22420, 27599
517, 32935, 38489
518, 2832, 4216
519, 23029, 27982
520, 2649, 19732
521, 13267, 20090
522, 18522, 29858
523, 11354, 18279
524, 6536, 33724
525, 2678, 28101
526, 38384, 40596
527, 18528, 33091
528, 13576, 32851
529, 5297, 6569
530, 17217, 21577
531, 5146, 29962
532, 28284, 32172
533, 5865, 38190
534, 22979, 26772
535, 2440, 30092
536, 16426, 21528
537, 17480, 27566
538, 7788, 21386
539, 32350, 41792
540, 5097, 16323
541, 4572, 23557
542, 7460, 35495
543, 7203, 28926
544, 5927, 15617
545, 8822, 18606
546, 12343, 26599
547, 9895, 17874
548, 3890, 41799
549, 27385, 27737
550, 10840, 41310
551, 2951, 28414
552, 27837, 40356
553, 25306, 38954
554, 25805, 30884
555, 10910, 34265
556, 5811, 8769
557, 1293, 3421
558, 14705, 40895
559, 26052, 35748
560, 10692, 36584
561, 3806, 23583
562, 33444, 34085
563, 22658, 38055
564, 20, 22562
565, 2867, 23773
566, 12474, 33826
567, 14754, 17548
568, 7158, 39887
569, 15401, 36060
570, 13360, 34364
571, 3806, 29687
572, 36824, 40246
573, 15544, 28209
574, 4651, 8121
575, 9869, 26053
576, 35386, 42066
577, 34285, 37631
578, 17691, 18771
579, 34166, 36484
580, 5755, 18325
581, 19409, 39745
582, 5339, 40001
583, 2379, 13438
584, 23504, 36501
585, 6991, 37030
586, 2684, 26160
587, 33758, 40567
588, 10830, 29714
589, 13034, 28298
590, 1894, 35470
591, 27527, 30319
592, 7481, 26861
593, 26227, 39677
594, 615, 11626
595, 2636, 4198
596, 22502, 41644
597, 3425, 17358
598, 12025, 42050
599, 22045, 23373
600, 17170, 30564
601, 1859, 33697
602, 33439, 40324
603, 2106, 11291
604, 9857, 42311
605, 839, 11652
606, 34336, 41658
607, 896, 17307
608, 2509, 19658
609, 17488, 23097
610, 22555, 27342
611, 3319, 5081
612, 2767, 23261
613, 7910, 27442
614, 28363, 41668
615, 3233, 17927
616, 494, 18549
617, 21800, 34913
618, 6740, 13190
619, 20060, 27072
620, 29812, 34015
621, 28475, 39591
622, 711, 10719
623, 14842, 19280
624, 3719, 15275
625, 8210, 11671
626, 22979, 25549
627, 24545, 39444
628, 14408, 33879
629, 11514, 25469
630, 23995, 31667
631, 27703, 36406
632, 8308, 27062
633, 15933, 23459
634, 5755, 12580
635, 1115, 37509
636, 1161, 27716
637, 12758, 26138
638, 22450, 26346
639, 29969, 31011
640, 17643, 32287
641, 20558, 38412
642, 5812, 39124
643, 18871, 19427
644, 38702, 39658
645, 15250, 24250
646, 1130, 26509
647, 3114, 19643
648, 303, 27050
649, 19235, 27929
650, 4270, 28362
651, 4567, 17461
652, 15415, 30608
653, 1509, 11627
654, 4106, 11467
655, 20580, 26092
656, 3952, 19784
657, 6035, 16701
658, 19148, 24521
659, 5084, 38753
660, 1802, 4001
661, 440, 34962
662, 6883, 11436
663, 5736, 37206
664, 327, 20839
665, 10066, 14893
666, 20509, 41898
667, 10514, 32964
668, 31835, 41313
669, 13590, 25291
670, 12464, 14838
671, 33077, 36424
672, 25002, 27935
673, 2177, 7458
674, 20538, 27050
675, 33578, 40540
676, 5025, 16970
677, 11488, 38506
678, 6990, 9226
679, 26155, 27293
680, 7748, 38884
681, 9411, 10747
682, 8934, 37146
683, 33226, 38811
684, 26334, 34114
685, 21871, 28011
686, 1671, 22208
687, 5915, 10788
